Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Time,Chall,Succ,Succ%,Managers,Year
TOR,"3,203,886","39,554",31,28.8,104,104,0,2,12,"$158,890,575 ",3:09,45,12,26%,Gibbons,2017
WSN,"2,524,980","31,173",29.2,30.1,102,100,0,5,12,"$175,587,301 ",3:09,32,12,37%,Baker,2017
ARI,"2,036,216","25,138",26.7,26.4,107,107,0,1,11,"$78,399,500 ",3:14,37,22,59%,Hale,2016
ATL,"2,020,914","24,950",28.9,26.4,98,99,0,1,10,"$74,999,750 ",3:08,42,18,42%,Gonzalez and Snitker,2016
BAL,"2,172,344","26,819",28.5,27.9,102,102,0,5,16,"$153,744,833 ",3:00,39,20,51%,Showalter,2016
BOS,"2,955,434","36,487",28.5,29,106,106,0,6,16,"$218,682,750 ",3:12,46,20,43%,Farrell,2016
CHC,"3,232,420","39,906",27.4,29.9,101,100,0,7,14,"$176,097,333 ",3:05,42,21,50%,Maddon,2016
CHW,"1,746,293","21,559",28.3,28.6,96,96,0,2,13,"$113,416,000 ",3:03,39,20,51%,Ventura,2016
CIN,"1,894,085","23,384",27.8,27.1,101,102,0,2,8,"$77,329,561 ",3:04,51,25,49%,Price,2016
CLE,"1,591,667","19,650",29,28.1,109,107,0,3,9,"$94,511,067 ",3:03,49,28,57%,Francona,2016
COL,"2,602,524","32,130",27.8,27.7,116,116,0,2,4,"$89,707,000 ",3:11,54,32,59%,Weiss,2016
DET,"2,493,859","31,173",30,29,100,101,0,1,11,"$199,902,000 ",3:05,34,19,55%,Ausmus,2016
HOU,"2,306,623","28,477",26.4,28.9,94,93,0,2,10,"$89,498,000 ",3:04,37,16,43%,Hinch,2016
KCR,"2,557,712","31,577",28.5,29.9,102,102,0,4,13,"$125,132,675 ",2:59,37,25,67%,Yost,2016
LAA,"3,016,142","37,236",28.5,28.4,95,95,0,1,8,"$139,712,000 ",3:04,38,21,55%,Scioscia,2016
LAD,"3,703,312","45,720",28.9,28.9,97,96,0,3,15,"$231,342,096 ",3:10,35,19,54%,Roberts,2016
MIA,"1,712,417","21,405",28.3,28,93,94,0,4,9,"$72,472,000 ",3:05,53,34,64%,Mattingly,2016
MIL,"2,314,614","28,575",27.5,28.1,102,102,0,1,5,"$52,077,500 ",3:08,47,22,46%,Counsell,2016
MIN,"1,963,912","24,246",26.9,28.3,100,100,0,1,10,"$93,333,700 ",3:05,28,17,60%,Molitor,2016
NYM,"2,789,602","34,440",29.5,28.4,96,96,0,4,12,"$155,221,282 ",3:05,28,18,64%,Collins,2016
