Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS_Plus,TB,GDP,HBP,SH,SF,IBB,LOB,Year
SDP,39,28.4,3.81,162,6074,5476,617,1396,255,30,135,576,69,52,453,864,0.255,0.313,0.386,0.699,96,2116,126,26,78,41,67,1082,1992
SEA,48,28.3,4.19,162,6180,5564,679,1466,278,24,149,638,100,55,474,841,0.263,0.323,0.402,0.725,103,2239,148,38,52,51,47,1120,1992
SFG,40,28.1,3.54,162,6070,5456,574,1330,220,36,105,532,112,64,435,1067,0.244,0.302,0.355,0.657,90,1937,111,39,101,39,53,1087,1992
STL,39,28.6,3.9,162,6230,5594,631,1464,262,44,94,599,208,118,495,996,0.262,0.323,0.375,0.698,100,2096,96,32,68,41,49,1153,1992
TEX,52,27.2,4.21,162,6238,5537,682,1387,266,23,159,646,81,44,550,1036,0.25,0.321,0.393,0.714,103,2176,115,50,56,45,36,1172,1992
TOR,40,29.3,4.81,162,6224,5536,780,1458,265,40,163,737,129,39,561,933,0.263,0.333,0.414,0.747,106,2292,123,47,26,54,41,1159,1992
ATL,43,28,4.62,162,6182,5456,749,1407,255,30,141,704,165,76,563,906,0.258,0.328,0.393,0.722,98,2145,104,32,86,45,55,1111,1991
BAL,42,28.2,4.23,162,6257,5604,686,1421,256,29,170,660,50,33,528,974,0.254,0.319,0.401,0.72,102,2245,147,33,47,45,33,1162,1991
BOS,39,28.9,4.51,162,6259,5530,731,1486,305,25,126,691,59,39,593,820,0.269,0.34,0.401,0.741,101,2219,143,32,50,51,49,1216,1991
CAL,42,30.9,4.03,162,6050,5470,653,1396,245,29,115,607,94,56,448,928,0.255,0.314,0.374,0.688,91,2044,114,38,63,31,28,1073,1991
CHC,39,28.9,4.34,160,6130,5522,695,1395,232,26,159,654,123,64,442,879,0.253,0.309,0.39,0.7,93,2156,87,36,75,55,41,1074,1991
CHW,38,27.9,4.68,162,6360,5594,758,1464,226,39,139,722,134,74,610,896,0.262,0.336,0.391,0.727,103,2185,132,37,76,41,45,1183,1991
CIN,40,28.2,4.25,162,6134,5501,689,1419,250,27,164,654,124,56,488,1006,0.258,0.32,0.403,0.723,99,2215,85,32,72,41,54,1110,1991
CLE,53,25.5,3.56,162,6070,5470,576,1390,236,26,79,546,84,58,449,888,0.254,0.313,0.35,0.663,83,1915,146,43,62,46,24,1106,1991
DET,41,29.1,5.04,162,6359,5547,817,1372,259,26,209,778,109,47,699,1185,0.247,0.333,0.416,0.749,105,2310,90,31,38,44,40,1194,1991
HOU,44,26.1,3.73,162,6147,5504,605,1345,240,43,79,570,125,68,502,1027,0.244,0.309,0.347,0.656,91,1908,87,35,63,43,45,1131,1991
KCR,45,28.6,4.49,162,6244,5584,727,1475,290,41,117,689,119,68,523,969,0.264,0.328,0.394,0.722,100,2198,126,35,53,47,47,1117,1991
LAD,39,30.2,4.1,162,6159,5408,665,1366,191,29,108,605,126,68,583,957,0.253,0.326,0.359,0.685,95,1939,109,28,94,46,50,1151,1991
MIL,39,30.3,4.93,162,6311,5611,799,1523,247,53,116,750,106,68,556,802,0.271,0.336,0.396,0.732,104,2224,137,23,52,66,48,1122,1991
MIN,35,29.1,4.79,162,6218,5556,776,1557,270,42,140,733,107,68,526,747,0.28,0.344,0.42,0.764,107,2331,157,40,44,49,38,1137,1991
MON,38,27.7,3.6,161,6035,5412,579,1329,236,42,95,536,221,100,484,1056,0.246,0.308,0.357,0.666,88,1934,97,28,64,47,51,1074,1991
NYM,40,29.1,3.98,161,6077,5359,640,1305,250,24,117,605,153,70,578,789,0.244,0.317,0.365,0.682,93,1954,97,27,60,52,53,1114,1991
NYY,40,27.7,4.16,162,6140,5541,674,1418,249,19,147,630,109,36,473,861,0.256,0.316,0.387,0.704,94,2146,125,39,37,50,38,1101,1991
OAK,46,29.9,4.69,162,6192,5410,760,1342,246,19,159,716,151,64,642,981,0.248,0.331,0.389,0.719,104,2103,131,50,41,49,55,1105,1991
PHI,43,29,3.88,162,6133,5521,629,1332,248,33,111,590,92,30,490,1026,0.241,0.303,0.358,0.662,87,1979,114,21,52,49,48,1108,1991
PIT,43,28.1,4.74,162,6269,5449,768,1433,259,50,126,725,124,46,620,901,0.263,0.338,0.398,0.737,108,2170,111,35,99,66,62,1188,1991
SDP,48,28,3.93,162,6057,5408,636,1321,204,36,121,591,101,64,501,1069,0.244,0.31,0.362,0.673,87,1960,122,32,78,38,60,1080,1991
SEA,38,28.1,4.33,162,6237,5494,702,1400,268,29,126,665,97,44,588,811,0.255,0.328,0.383,0.711,97,2104,139,37,55,62,57,1150,1991
SFG,41,28.5,4.01,162,6098,5463,649,1345,215,48,141,605,95,57,471,973,0.246,0.309,0.381,0.69,97,2079,91,40,90,33,59,1110,1991
STL,36,28.5,4.02,162,6020,5362,651,1366,239,53,68,599,202,110,532,857,0.255,0.322,0.357,0.679,91,1915,94,21,58,47,48,1072,1991
TEX,49,27.6,5.12,162,6441,5703,829,1539,288,31,177,774,102,50,596,1039,0.27,0.341,0.424,0.765,113,2420,128,42,59,41,51,1187,1991
TOR,45,27.6,4.22,162,6167,5489,684,1412,295,45,133,649,148,53,499,1043,0.257,0.322,0.4,0.722,96,2196,108,58,56,65,49,1134,1991
ATL,46,27.4,4.21,162,6084,5504,682,1376,263,26,162,636,92,55,473,1010,0.25,0.311,0.396,0.706,90,2177,101,27,49,31,36,1074,1990
BAL,47,27.3,4.16,161,6223,5410,669,1328,234,22,132,623,94,52,660,962,0.245,0.33,0.37,0.7,99,2002,131,40,72,41,50,1230,1990
BOS,43,28.9,4.31,162,6234,5516,699,1502,298,31,106,660,53,52,598,795,0.272,0.344,0.395,0.739,104,2180,174,28,48,44,59,1233,1990
CAL,43,29.8,4.26,162,6267,5570,690,1448,237,27,147,646,69,43,566,1000,0.26,0.329,0.391,0.72,104,2180,142,28,58,45,41,1202,1990
CHC,39,28.2,4.26,162,6149,5600,690,1474,240,36,136,649,151,50,406,869,0.263,0.314,0.392,0.706,87,2194,100,30,61,51,68,1124,1990
CHW,37,27.6,4.21,162,6038,5402,682,1393,251,44,106,637,140,90,478,903,0.258,0.32,0.379,0.699,97,2050,112,36,75,47,50,1044,1990
CIN,40,27.5,4.28,162,6163,5525,693,1466,284,40,125,644,166,66,466,913,0.265,0.325,0.399,0.724,95,2205,99,42,88,42,73,1137,1990
CLE,44,27.3,4.52,162,6087,5485,732,1465,266,41,110,675,107,52,458,836,0.267,0.324,0.391,0.714,100,2143,122,29,54,61,33,1061,1990
DET,43,30.7,4.63,162,6224,5479,750,1418,241,32,172,714,82,57,634,952,0.259,0.337,0.409,0.746,107,2239,139,34,36,41,44,1175,1990
HOU,44,28.4,3.54,162,6076,5379,573,1301,209,32,94,536,179,83,548,997,0.242,0.313,0.345,0.658,84,1856,107,28,79,41,64,1132,1990
KCR,46,29.8,4.39,161,6099,5488,707,1465,316,44,100,660,107,62,498,879,0.267,0.328,0.395,0.723,104,2169,132,27,31,54,32,1123,1990
LAD,46,29.7,4.49,162,6179,5491,728,1436,222,27,129,669,141,65,538,952,0.262,0.328,0.382,0.711,98,2099,110,31,71,48,78,1132,1990
MIL,43,29.5,4.52,162,6185,5503,732,1408,247,36,128,680,164,72,519,821,0.256,0.32,0.384,0.704,98,2111,101,33,59,71,46,1106,1990
MIN,39,29.5,4.11,162,6086,5499,666,1458,281,39,100,625,96,53,445,749,0.265,0.324,0.385,0.708,93,2117,148,53,40,49,32,1097,1990
MON,44,27.7,4.09,162,6189,5453,662,1363,227,43,114,607,235,99,576,1024,0.25,0.322,0.37,0.692,94,2018,96,26,87,47,67,1126,1990
NYM,44,27.5,4.78,162,6182,5504,775,1410,278,21,172,734,110,33,536,851,0.256,0.323,0.408,0.731,100,2246,89,32,54,56,65,1114,1990
NYY,43,28.2,3.72,162,6037,5483,603,1322,208,19,147,561,119,45,427,1027,0.241,0.3,0.366,0.667,86,2009,114,53,37,36,41,1060,1990
OAK,40,29.1,4.52,162,6240,5433,733,1379,209,22,164,693,141,54,651,992,0.254,0.336,0.391,0.727,108,2124,122,46,60,48,38,1195,1990
PHI,43,28.6,3.99,162,6245,5535,646,1410,237,27,103,619,108,35,582,915,0.255,0.327,0.363,0.69,91,2010,115,30,59,39,92,1242,1990
PIT,46,27.7,4.52,162,6161,5388,733,1395,288,42,138,693,137,52,582,914,0.259,0.33,0.405,0.735,105,2181,115,24,96,66,64,1121,1990
SDP,37,28.6,4.15,162,6218,5554,673,1429,243,35,123,628,138,59,509,902,0.257,0.32,0.38,0.7,92,2111,117,28,79,48,75,1139,1990
SEA,43,27.9,3.95,162,6207,5474,640,1419,251,26,107,610,105,51,596,749,0.259,0.333,0.373,0.707,98,2043,140,40,41,54,41,1227,1990
SFG,51,29.1,4.44,162,6216,5573,719,1459,221,35,152,681,109,56,488,973,0.262,0.323,0.396,0.718,101,2206,83,33,76,45,61,1167,1990
STL,43,29.4,3.7,162,6127,5462,599,1398,255,41,73,554,221,74,517,844,0.256,0.32,0.358,0.678,87,1954,101,21,77,50,54,1164,1990
TEX,40,27.5,4.17,162,6177,5469,676,1416,257,27,110,641,115,48,575,1054,0.259,0.331,0.376,0.707,98,2057,142,34,54,44,45,1168,1990
TOR,41,27,4.73,162,6223,5589,767,1479,263,50,167,729,111,52,526,970,0.265,0.328,0.419,0.747,103,2343,125,28,18,62,35,1113,1990
