Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS_Plus,TB,GDP,HBP,SH,SF,IBB,LOB,Year
BOS,53,28.6,5.49,144,5716,4997,791,1399,286,31,175,754,99,44,560,923,0.28,0.357,0.455,0.812,108,2272,129,65,45,49,38,1084,1995
CAL,45,28.8,5.52,145,5690,5019,801,1390,252,25,186,761,58,39,564,889,0.277,0.352,0.448,0.8,108,2250,115,36,33,38,40,1056,1995
CHC,43,28.2,4.81,144,5543,4963,693,1315,267,39,158,648,105,37,440,953,0.265,0.327,0.43,0.757,101,2134,110,34,71,35,46,956,1995
CHW,46,29.6,5.21,145,5770,5060,755,1417,252,37,146,712,110,39,576,767,0.28,0.354,0.431,0.785,107,2181,106,32,46,56,54,1155,1995
CIN,47,28.4,5.19,144,5575,4903,747,1326,277,35,161,694,190,68,519,946,0.27,0.342,0.44,0.782,106,2156,92,40,62,50,42,1001,1995
CLE,41,29.1,5.83,144,5686,5028,840,1461,279,23,207,803,132,53,542,766,0.291,0.361,0.479,0.839,116,2407,128,35,31,48,40,1018,1995
COL,41,29.5,5.45,144,5647,4994,785,1406,259,43,200,749,125,59,484,943,0.282,0.35,0.471,0.82,94,2351,118,56,82,31,47,1017,1995
DET,45,28.8,4.54,144,5535,4865,654,1204,228,29,159,619,73,36,551,987,0.247,0.327,0.404,0.731,90,1967,121,41,35,43,30,1017,1995
FLA,46,28.1,4.71,143,5569,4886,673,1278,214,29,144,636,131,53,517,916,0.262,0.335,0.406,0.741,95,1982,105,49,69,48,36,1028,1995
HOU,44,28.1,5.19,144,5857,5097,747,1403,260,22,109,694,176,60,566,992,0.275,0.353,0.399,0.752,105,2034,114,69,78,47,58,1153,1995
KCR,51,29.1,4.37,144,5528,4903,629,1275,240,35,119,578,120,53,475,849,0.26,0.328,0.396,0.724,87,1942,105,43,66,39,33,1018,1995
LAD,49,27.3,4.4,144,5544,4942,634,1303,191,31,140,593,127,45,468,1023,0.264,0.329,0.4,0.729,99,1976,99,30,68,35,46,1049,1995
MIL,41,27.9,5.14,144,5631,5000,740,1329,249,42,128,700,105,40,502,800,0.266,0.336,0.409,0.745,89,2046,105,46,41,42,20,1012,1995
MIN,46,27.4,4.88,144,5588,5005,703,1398,270,34,120,662,105,57,471,916,0.279,0.346,0.419,0.765,98,2096,152,58,18,36,32,1025,1995
MON,45,26.2,4.31,144,5452,4905,621,1268,265,24,118,572,120,49,400,901,0.259,0.32,0.394,0.714,85,1935,107,56,58,32,43,970,1995
NYM,45,27.4,4.56,144,5581,4958,657,1323,218,34,125,617,58,39,446,994,0.267,0.33,0.4,0.73,95,1984,105,42,92,43,44,1041,1995
NYY,42,31.1,5.17,145,5699,4947,749,1365,280,34,122,709,50,30,625,851,0.276,0.357,0.42,0.778,103,2079,139,39,20,68,36,1126,1995
OAK,44,29.5,5.07,144,5617,4916,730,1296,228,18,169,694,112,46,565,911,0.264,0.341,0.42,0.762,106,2067,108,45,32,58,25,1049,1995
PHI,50,29.7,4.27,144,5613,4950,615,1296,263,30,94,576,72,25,497,884,0.262,0.332,0.384,0.716,90,1901,107,46,77,41,38,1114,1995
PIT,40,28.3,4.37,144,5501,4937,629,1281,245,27,125,587,84,55,456,972,0.259,0.323,0.396,0.719,88,1955,88,24,51,33,45,1010,1995
SDP,40,28.7,4.64,144,5527,4950,668,1345,231,20,116,618,124,46,447,872,0.272,0.334,0.397,0.731,95,1964,125,35,56,38,45,998,1995
SEA,46,28.7,5.49,145,5671,4996,796,1377,276,20,182,767,110,41,549,871,0.276,0.35,0.448,0.798,106,2239,109,39,52,34,53,1033,1995
SFG,46,28.7,4.53,144,5603,4971,652,1256,229,33,152,610,138,46,472,1060,0.253,0.323,0.404,0.727,95,2007,92,57,79,24,55,1046,1995
STL,46,28.7,3.94,143,5349,4779,563,1182,238,24,107,533,79,46,436,920,0.247,0.314,0.374,0.688,83,1789,110,46,48,40,31,957,1995
TEX,46,29,4.8,144,5566,4913,691,1304,247,24,138,651,90,47,526,877,0.265,0.338,0.41,0.747,92,2013,112,33,49,45,28,1031,1995
TOR,39,28.9,4.46,144,5650,5036,642,1309,275,27,140,613,75,16,492,906,0.26,0.328,0.409,0.737,92,2058,119,44,33,45,27,1079,1995
ATL,31,28.2,4.75,114,4349,3861,542,1031,198,18,137,510,48,31,377,668,0.267,0.333,0.434,0.767,97,1676,104,22,60,29,39,761,1994
BAL,32,30.2,5.26,112,4386,3856,589,1047,185,20,139,557,69,13,438,655,0.272,0.349,0.438,0.787,98,1689,89,39,16,35,23,833,1994
BOS,45,29.9,4.8,115,4446,3940,552,1038,222,19,120,523,81,38,404,723,0.263,0.334,0.421,0.755,91,1658,87,31,38,33,40,819,1994
CAL,37,27.6,4.72,115,4443,3943,543,1042,178,16,120,518,65,54,402,715,0.264,0.334,0.409,0.743,91,1612,84,27,42,29,24,802,1994
CHC,35,28.2,4.42,113,4386,3918,500,1015,189,26,109,464,69,53,364,750,0.259,0.325,0.404,0.729,90,1583,84,27,54,23,26,802,1994
CHW,34,29.9,5.6,113,4556,3942,633,1133,175,39,121,602,77,27,497,568,0.287,0.366,0.444,0.81,110,1749,91,20,51,46,47,906,1994
CIN,35,28.5,5.3,115,4512,3999,609,1142,211,36,124,569,119,51,388,738,0.286,0.35,0.449,0.799,108,1797,83,29,53,42,51,816,1994
CLE,40,28.3,6.01,113,4493,4022,679,1165,240,20,167,647,131,48,382,629,0.29,0.351,0.484,0.835,115,1946,80,18,33,38,40,762,1994
COL,36,29.7,4.9,117,4493,4006,573,1098,206,39,125,540,91,53,378,761,0.274,0.337,0.439,0.776,88,1757,96,23,50,36,33,805,1994
DET,36,30.7,5.67,115,4574,3955,652,1048,216,25,161,622,46,33,520,897,0.265,0.352,0.454,0.806,107,1797,86,34,17,48,28,852,1994
FLA,42,27.6,4.07,115,4387,3926,468,1043,180,24,94,451,65,26,349,746,0.266,0.33,0.396,0.725,87,1553,81,40,42,30,25,856,1994
HOU,33,27.8,5.23,115,4500,3955,602,1099,252,25,120,573,124,44,394,718,0.278,0.347,0.445,0.792,110,1761,73,43,73,35,58,834,1994
KCR,31,30.2,4.99,115,4391,3911,574,1051,211,38,100,538,140,62,376,698,0.269,0.335,0.419,0.754,91,1638,72,33,32,38,23,747,1994
LAD,35,28.6,4.67,114,4371,3904,532,1055,160,29,115,505,74,37,366,687,0.27,0.333,0.414,0.748,99,1618,89,19,51,31,33,789,1994
MIL,36,27.9,4.76,115,4494,3978,547,1045,238,21,99,510,59,37,417,680,0.263,0.335,0.408,0.742,88,1622,85,33,28,38,30,824,1994
MIN,33,28.9,5.26,113,4409,3952,594,1092,239,23,103,556,94,30,359,635,0.276,0.34,0.427,0.767,97,1686,93,41,22,34,26,796,1994
MON,32,26.2,5.13,114,4514,4000,585,1111,246,30,108,542,137,36,379,669,0.278,0.343,0.435,0.778,101,1741,77,40,53,42,39,859,1994
NYM,37,27.9,4.48,113,4348,3869,506,966,164,21,117,477,25,26,336,807,0.25,0.316,0.394,0.709,85,1523,70,52,59,31,40,761,1994
